Sep=,
DAQ,Date,Time,A0,A3,B5,Humidity (SCD30),CO2 (SCD30),VOC(SGP40)
0,0-1-1,0:0:12,0.0,0.04,216,35.98,604.0,26963
0,0-1-1,0:0:15,0.0,0.04,6,35.84,587.0,27755
0,0-1-1,0:0:18,0.0,0.06,7,35.8,582.0,28194
0,0-1-1,0:0:21,0.04,0.09,9,36.28,567.0,28675
0,0-1-1,0:0:24,0.07,0.12,5,37.01,562.0,29014
0,0-1-1,0:0:28,0.08,0.14,8,36.81,547.0,29307
0,0-1-1,0:0:31,0.09,0.16,4,36.33,539.0,29547
0,0-1-1,0:0:34,0.1,0.17,92,35.68,532.0,29618
0,0-1-1,0:0:37,0.11,0.18,28,35.45,525.0,29919
0,0-1-1,0:0:40,0.12,0.19,39,35.31,526.0,29982
0,0-1-1,0:0:43,0.13,0.2,103,35.11,520.0,30239
0,0-1-1,0:0:46,0.14,0.2,97,35.05,516.0,30275
0,0-1-1,0:0:50,0.15,0.21,106,34.99,517.0,30334
0,0-1-1,0:0:53,0.16,0.21,111,34.94,518.0,30563
0,0-1-1,0:0:56,0.16,0.22,107,34.89,514.0,30602
0,0-1-1,0:0:59,0.16,0.22,71,34.9,513.0,30667
0,0-1-1,0:1:2,0.17,0.22,35,34.95,515.0,30727
0,0-1-1,0:1:5,0.17,0.23,44,35.0,514.0,30806
0,0-1-1,0:1:9,0.17,0.23,19,35.01,515.0,30891
0,0-1-1,0:1:12,0.17,0.23,78,34.92,513.0,30970
0,0-1-1,0:1:15,0.18,0.23,32,34.86,514.0,31035
0,0-1-1,0:1:18,0.18,0.23,101,34.8,515.0,31111
0,0-1-1,0:1:21,0.18,0.23,97,34.77,516.0,31178
0,0-1-1,0:1:24,0.18,0.23,87,34.48,516.0,31243
0,0-1-1,0:1:27,0.18,0.23,77,34.39,518.0,31306
0,0-1-1,0:1:31,0.18,0.23,81,34.39,516.0,31367
0,0-1-1,0:1:34,0.19,0.23,81,34.32,516.0,31419
1,0-1-1,0:1:37,0.19,0.23,37,34.26,517.0,31466
1,0-1-1,0:1:40,0.19,0.23,83,34.2,519.0,31511
1,0-1-1,0:1:43,0.19,0.24,3,34.26,519.0,31554
1,0-1-1,0:1:46,0.19,0.23,73,34.22,517.0,31623
1,0-1-1,0:1:50,0.19,0.24,2,34.19,518.0,31667
1,0-1-1,0:1:53,0.19,0.24,7,34.13,517.0,31706
1,0-1-1,0:1:56,0.19,0.24,3,34.1,517.0,31747
1,0-1-1,0:1:59,0.19,0.24,32,33.96,515.0,31790
1,0-1-1,0:2:2,0.2,0.24,66,33.93,516.0,31835
1,0-1-1,0:2:5,0.2,0.24,105,33.81,517.0,31871
1,0-1-1,0:2:8,0.2,0.24,98,33.8,518.0,31902
1,0-1-1,0:2:12,0.2,0.24,9,33.7,517.0,31943
1,0-1-1,0:2:15,0.2,0.24,65,33.7,516.0,31974
1,0-1-1,0:2:18,0.2,0.24,68,33.64,517.0,32015
1,0-1-1,0:2:21,0.2,0.24,45,33.6,516.0,32043
1,0-1-1,0:2:24,0.2,0.24,49,33.56,516.0,32066
1,0-1-1,0:2:27,0.2,0.24,53,33.56,517.0,32107
1,0-1-1,0:2:31,0.2,0.24,56,33.54,517.0,32122
1,0-1-1,0:2:34,0.2,0.24,51,33.56,518.0,32159
1,0-1-1,0:2:37,0.21,0.24,55,33.47,517.0,32179
1,0-1-1,0:2:40,0.21,0.24,97,33.55,518.0,32186
1,0-1-1,0:2:43,0.21,0.24,44,33.6,517.0,32211
1,0-1-1,0:2:46,0.2,0.24,55,33.71,518.0,32222
1,0-1-1,0:2:49,0.21,0.24,92,33.71,517.0,32243
1,0-1-1,0:2:53,0.2,0.24,3,33.66,518.0,32255
1,0-1-1,0:2:56,0.21,0.24,69,33.61,518.0,32274
1,0-1-1,0:2:59,0.2,0.24,22,33.62,517.0,32295
1,0-1-1,0:3:2,0.21,0.24,3,33.6,517.0,32298
1,0-1-1,0:3:5,0.21,0.24,46,33.6,517.0,32315
1,0-1-1,0:3:8,0.21,0.24,3,33.5,517.0,32315
1,0-1-1,0:3:12,0.21,0.24,7,33.5,517.0,32330
1,0-1-1,0:3:15,0.21,0.24,107,33.53,517.0,32335
1,0-1-1,0:3:18,0.21,0.24,91,33.47,516.0,32354
1,0-1-1,0:3:21,0.21,0.24,13,33.43,516.0,32371
1,0-1-1,0:3:24,0.21,0.24,26,33.38,516.0,32371
1,0-1-1,0:3:27,0.21,0.24,15,33.33,516.0,32378
1,0-1-1,0:3:31,0.21,0.24,13,33.36,516.0,32399
1,0-1-1,0:3:34,0.2,0.24,11,33.32,515.0,32414
1,0-1-1,0:3:37,0.21,0.24,17,33.14,515.0,32423
1,0-1-1,0:3:40,0.21,0.24,9,33.14,515.0,32435
1,0-1-1,0:3:43,0.21,0.24,14,33.11,515.0,32426
1,0-1-1,0:3:46,0.21,0.24,13,33.11,516.0,32439
1,0-1-1,0:3:49,0.21,0.24,136,33.0,515.0,32462
1,0-1-1,0:3:53,0.21,0.24,67,33.0,515.0,32479
1,0-1-1,0:3:56,0.21,0.24,23,32.97,516.0,32475
1,0-1-1,0:3:59,0.21,0.24,91,32.92,516.0,32486
1,0-1-1,0:4:2,0.21,0.24,4,32.92,516.0,32499
1,0-1-1,0:4:5,0.21,0.24,1,32.86,516.0,32510
1,0-1-1,0:4:8,0.21,0.24,2,32.83,517.0,32519
1,0-1-1,0:4:12,0.21,0.24,2,32.84,517.0,32535
1,0-1-1,0:4:15,0.21,0.24,95,32.82,518.0,32546
1,0-1-1,0:4:18,0.21,0.24,30,32.8,517.0,32555
1,0-1-1,0:4:21,0.21,0.24,28,32.8,518.0,32558
1,0-1-1,0:4:24,0.21,0.24,12,32.82,518.0,32555
1,0-1-1,0:4:27,0.21,0.24,107,32.82,519.0,32583
1,0-1-1,0:4:31,0.21,0.24,59,32.73,520.0,32594
1,0-1-1,0:4:34,0.21,0.24,30,32.71,521.0,32615
